,Short ID,Mutually Exclusive? (Y/N),Modelica Parameter,Modelica Path,Question/Comments
Terminal Unit:,VAV,N,Buildings.Templates.ZoneEquipment,Buildings.Templates.ZoneEquipment.Types.Configuration,
Cooling-Only VAV,CO,,Buildings.Templates.ZoneEquipment.VAVBoxCoolingOnly,Buildings.Templates.ZoneEquipment.Types.Configuration.VAVBoxCoolingOnly,
VAV with Reheat,RH,,Buildings.Templates.ZoneEquipment.VAVBoxReheat,Buildings.Templates.ZoneEquipment.Types.Configuration.VAVBoxReheat,
"Parallel Fan-Powered, Constant Volume",PFBCV,,Buildings.Templates.ZoneEquipment.VAVBoxFanParallelConstant,Buildings.Templates.ZoneEquipment.Types.Configuration.VAVBoxFanParallelConstant,
"Series Fan-Powered, Constant Volume",SFBCV,,Buildings.Templates.ZoneEquipment.VAVBoxFanSeriesConstant,Buildings.Templates.ZoneEquipment.Types.Configuration.VAVBoxFanSeriesConstant,
Occupancy Sensor:,OCC,N,Buildings.Templates.ZoneEquipment.Components.Interfaces.ControllerG36VAVBox.have_occSen-ctl.have_occSen,Boolean,
Yes,,,,TRUE,
No,,,,FALSE,
Relative Humidity Sensor:,RHS,N,Buildings.Templates.ZoneEquipment.Components.Interfaces.PartialControllerVAVBox.have_relHumSen-ctl.have_relHumSen,Boolean,
Yes,,,,TRUE,
No,,,,FALSE,
CO2 Sensor:,CO2,N,Buildings.Templates.ZoneEquipment.Components.Interfaces.PartialControllerVAVBox.have_CO2Sen-ctl.have_CO2Sen,Boolean,
Yes,,,,TRUE,
No,,,,FALSE,
Terminal Heat Source:,TERM_HT,Y,Buildings.Templates.ZoneEquipment.Interfaces.VAVBox.coiHea-coiHea,Buildings.Templates.Components.Coils,
Hot Water Coil,HW,,,Buildings.Templates.Components.Coils.WaterBasedHeating,
Modulating Electric Heating Coil,ELEC,,,Buildings.Templates.Components.Coils.ElectricHeating,
